max_features,max_samples,bootstrap,max_depth,referral_importance,tpr_gap,tpr_A,tpr_B,combined_score
1,0.5,True,3,0.01966666666666667,0.47058823529411764,0.5294117647058824,1.0,1.36603731113844
1,0.5,True,5,0.011444444444444453,0.6975490196078431,0.29411764705882354,0.9916666666666667,1.4023437500000004
1,0.5,True,7,0.012888888888888884,0.5720588235294117,0.35294117647058826,0.925,1.2732233836964157
1,0.6,True,3,0.011,0.23529411764705888,0.7647058823529411,1.0,0.72403428056922
1,0.6,True,5,0.014444444444444447,0.5882352941176471,0.4117647058823529,1.0,1.35110132642305
1,0.6,True,7,0.007777777777777784,0.580392156862745,0.35294117647058826,0.9333333333333333,1.105482475404076
1,0.7,True,3,0.01166666666666666,0.23529411764705888,0.7647058823529411,1.0,0.7474717805692198
1,0.7,True,5,0.010555555555555561,0.5210784313725491,0.47058823529411764,0.9916666666666667,1.1181071020730853
1,0.7,True,7,0.009333333333333332,0.5887254901960783,0.35294117647058826,0.9416666666666667,1.1721165671117357
1,1.0,True,3,0.009888888888888888,0.2941176470588235,0.7058823529411765,1.0,0.7693006632115249
1,1.0,True,5,0.01566666666666667,0.6387254901960784,0.35294117647058826,0.9916666666666667,1.4664523673576952
1,1.0,True,7,0.005888888888888893,0.5132352941176471,0.4117647058823529,0.925,0.9428007510541114
2,0.5,True,3,0.018000000000000006,0.46225490196078434,0.5294117647058824,0.9916666666666667,1.2954969694307803
2,0.5,True,5,0.015888888888888886,0.6053921568627452,0.35294117647058826,0.9583333333333334,1.4264785005270557
2,0.5,True,7,0.017222222222222233,0.4715686274509804,0.4117647058823529,0.8833333333333333,1.2815052925158121
2,0.6,True,3,0.01788888888888889,0.5715686274509804,0.4117647058823529,0.9833333333333333,1.4483018930077303
2,0.6,True,5,0.016111111111111114,0.6137254901960785,0.35294117647058826,0.9666666666666667,1.4462375922347155
2,0.6,True,7,0.016666666666666666,0.4965686274509804,0.4117647058823529,0.9083333333333333,1.2978138176387914
2,0.7,True,3,0.017888888888888895,0.4034313725490196,0.5882352941176471,0.9916666666666667,1.2072618367884753
2,0.7,True,5,0.016,0.6053921568627452,0.35294117647058826,0.9583333333333334,1.4303847505270557
2,0.7,True,7,0.012222222222222233,0.580392156862745,0.35294117647058826,0.9333333333333333,1.2617324754040764
2,1.0,True,3,0.021000000000000005,0.5799019607843138,0.4117647058823529,0.9916666666666667,1.5696234847153905
2,1.0,True,5,0.028444444444444442,0.580392156862745,0.35294117647058826,0.9333333333333333,1.832044975404076
2,1.0,True,7,0.013111111111111106,0.5642156862745098,0.29411764705882354,0.8583333333333333,1.269792032677442
3,0.5,True,3,0.024444444444444446,0.5799019607843138,0.4117647058823529,0.9916666666666667,1.6907172347153903
3,0.5,True,5,0.01766666666666667,0.6308823529411764,0.29411764705882354,0.925,1.5255210163387214
3,0.5,True,7,0.01855555555555556,0.4715686274509804,0.4117647058823529,0.8833333333333333,1.328380292515812
3,0.6,True,3,0.019333333333333334,0.5715686274509804,0.4117647058823529,0.9833333333333333,1.4990831430077303
3,0.6,True,5,0.015444444444444433,0.580392156862745,0.35294117647058826,0.9333333333333333,1.3750137254040755
3,0.6,True,7,0.018000000000000002,0.4882352941176471,0.4117647058823529,0.9,1.3327422259311317
3,0.7,True,3,0.020444444444444446,0.6303921568627451,0.35294117647058826,0.9833333333333333,1.6224745256500352
3,0.7,True,5,0.00933333333333334,0.5637254901960784,0.35294117647058826,0.9166666666666666,1.1362767919887564
3,0.7,True,7,0.01677777777777778,0.43823529411764706,0.4117647058823529,0.85,1.2180939256851722
3,1.0,True,3,0.019333333333333338,0.6808823529411765,0.29411764705882354,0.975,1.6557943165846805
3,1.0,True,5,0.02477777777777778,0.5720588235294117,0.35294117647058826,0.925,1.6911921336964162
3,1.0,True,7,0.01555555555555555,0.4549019607843138,0.4117647058823529,0.8666666666666667,1.199018359100492
sqrt,0.5,True,3,0.018000000000000006,0.46225490196078434,0.5294117647058824,0.9916666666666667,1.2954969694307803
sqrt,0.5,True,5,0.015888888888888886,0.6053921568627452,0.35294117647058826,0.9583333333333334,1.4264785005270557
sqrt,0.5,True,7,0.017222222222222233,0.4715686274509804,0.4117647058823529,0.8833333333333333,1.2815052925158121
sqrt,0.6,True,3,0.01788888888888889,0.5715686274509804,0.4117647058823529,0.9833333333333333,1.4483018930077303
sqrt,0.6,True,5,0.016111111111111114,0.6137254901960785,0.35294117647058826,0.9666666666666667,1.4462375922347155
sqrt,0.6,True,7,0.016666666666666666,0.4965686274509804,0.4117647058823529,0.9083333333333333,1.2978138176387914
sqrt,0.7,True,3,0.017888888888888895,0.4034313725490196,0.5882352941176471,0.9916666666666667,1.2072618367884753
sqrt,0.7,True,5,0.016,0.6053921568627452,0.35294117647058826,0.9583333333333334,1.4303847505270557
sqrt,0.7,True,7,0.012222222222222233,0.580392156862745,0.35294117647058826,0.9333333333333333,1.2617324754040764
sqrt,1.0,True,3,0.021000000000000005,0.5799019607843138,0.4117647058823529,0.9916666666666667,1.5696234847153905
sqrt,1.0,True,5,0.028444444444444442,0.580392156862745,0.35294117647058826,0.9333333333333333,1.832044975404076
sqrt,1.0,True,7,0.013111111111111106,0.5642156862745098,0.29411764705882354,0.8583333333333333,1.269792032677442
