max_features,max_samples,max_depth,referral_importance,tpr_gap,tpr_A,tpr_B,score
3,0.591717394933082,7,0.019666666666666673,0.4632352941176471,0.4117647058823529,0.875,0.6599019607843137
3,0.7229163764267956,3,0.02616666666666667,0.6220588235294118,0.35294117647058826,0.975,0.8837254901960785
2,0.666854305569511,3,0.02466666666666667,0.46225490196078434,0.5294117647058824,0.9916666666666667,0.708921568627451
3,0.5282057895135501,6,0.014166666666666656,0.5470588235294118,0.35294117647058826,0.9,0.6887254901960784
4,0.5003893829205072,8,0.010666666666666661,0.42156862745098045,0.4117647058823529,0.8333333333333334,0.528235294117647
3,0.8058265802441404,2,0.01950000000000001,0.5294117647058824,0.47058823529411764,1.0,0.7244117647058825
1,0.7623873301291946,4,0.01866666666666666,0.5294117647058824,0.47058823529411764,1.0,0.716078431372549
1,0.9868777594207296,3,0.018833333333333334,0.3529411764705882,0.6470588235294118,1.0,0.5412745098039216
1,0.8091930046665436,4,0.019499999999999997,0.4117647058823529,0.5882352941176471,1.0,0.6067647058823529
4,0.7333814466239901,7,0.008999999999999989,0.43823529411764706,0.4117647058823529,0.85,0.5282352941176469
4,1.0,8,0.016666666666666666,0.42156862745098045,0.4117647058823529,0.8333333333333334,0.5882352941176471
4,0.5019117253197946,7,0.02166666666666666,0.4632352941176471,0.4117647058823529,0.875,0.6799019607843138
1,0.998780021321734,2,0.01683333333333332,0.23529411764705888,0.7647058823529411,1.0,0.4036274509803921
3,0.9862667129906271,2,0.02566666666666667,0.23529411764705888,0.7647058823529411,1.0,0.4919607843137256
1,1.0,2,0.01183333333333332,0.23529411764705888,0.7647058823529411,1.0,0.35362745098039206
1,0.9624416815017559,2,0.016499999999999994,0.17647058823529416,0.8235294117647058,1.0,0.3414705882352941
1,0.956743165001241,2,0.01633333333333333,0.17647058823529416,0.8235294117647058,1.0,0.3398039215686275
1,0.9261725980132827,2,0.009999999999999992,0.05882352941176472,0.9411764705882353,1.0,0.15882352941176464
1,0.9059081350261442,2,0.01049999999999999,0.11764705882352944,0.8823529411764706,1.0,0.22264705882352934
3,0.9163160708633608,2,0.029833333333333344,0.2941176470588235,0.7058823529411765,1.0,0.5924509803921569
1,0.8520480057716345,2,0.007666666666666666,0.11764705882352944,0.8823529411764706,1.0,0.1943137254901961
1,0.8451669381597385,2,0.008333333333333331,0.11764705882352944,0.8823529411764706,1.0,0.20098039215686275
1,0.8017471767558256,2,0.004666666666666664,0.05882352941176472,0.9411764705882353,1.0,0.10549019607843135
1,0.6804208293073175,2,0.007666666666666664,0.05882352941176472,0.9411764705882353,1.0,0.13549019607843135
1,0.5,2,0.008000000000000002,0.17647058823529416,0.8235294117647058,1.0,0.2564705882352942
1,0.7244787809126947,2,0.00266666666666667,0.11764705882352944,0.8823529411764706,1.0,0.14431372549019614
1,1.0,8,0.00716666666666666,0.4715686274509804,0.4117647058823529,0.8833333333333333,0.543235294117647
1,0.7340082315735433,2,0.003166666666666673,0.0,1.0,1.0,0.03166666666666673
1,0.5,8,0.01583333333333334,0.4882352941176471,0.4117647058823529,0.9,0.6465686274509805
4,1.0,5,0.014500000000000008,0.5553921568627451,0.35294117647058826,0.9083333333333333,0.7003921568627451
1,0.7179074113833531,2,0.0033333333333333353,0.05882352941176472,0.9411764705882353,1.0,0.09215686274509807
1,0.720903618198564,2,0.002666666666666667,0.11764705882352944,0.8823529411764706,1.0,0.1443137254901961
1,0.7312194741814368,2,0.0021666666666666696,0.11764705882352944,0.8823529411764706,1.0,0.13931372549019613
1,1.0,6,0.010333333333333338,0.5465686274509804,0.4117647058823529,0.9583333333333334,0.6499019607843138
1,0.7346629488478982,2,0.0058333333333333345,0.0,1.0,1.0,0.05833333333333335
1,0.7349556110357645,2,0.0058333333333333345,0.0,1.0,1.0,0.05833333333333335
1,0.7369474179594654,2,0.004666666666666671,0.0,1.0,1.0,0.04666666666666672
1,0.7396491766206083,2,0.0038333333333333357,0.05882352941176472,0.9411764705882353,1.0,0.09715686274509808
1,0.7425590029321989,2,0.004333333333333333,0.05882352941176472,0.9411764705882353,1.0,0.10215686274509805
1,0.7440766795958144,2,0.004833333333333337,0.0,1.0,1.0,0.04833333333333337
1,0.7490274308781228,2,0.007333333333333339,0.0,1.0,1.0,0.07333333333333339
1,0.7521067224732957,2,0.0066666666666666706,0.0,1.0,1.0,0.06666666666666671
1,0.7552341319471003,2,0.0066666666666666706,0.05882352941176472,0.9411764705882353,1.0,0.12549019607843143
1,0.7478690978380874,2,0.007166666666666671,0.0,1.0,1.0,0.07166666666666671
1,0.7516597061540169,2,0.0066666666666666706,0.0,1.0,1.0,0.06666666666666671
1,0.7549459597056035,2,0.0066666666666666706,0.05882352941176472,0.9411764705882353,1.0,0.12549019607843143
1,0.7080320755237691,2,0.003666666666666671,0.0,1.0,1.0,0.03666666666666671
1,0.6933366107593402,2,0.009000000000000003,0.05882352941176472,0.9411764705882353,1.0,0.14882352941176474
1,0.7524472804657565,2,0.0066666666666666706,0.0,1.0,1.0,0.06666666666666671
1,0.7545220815165804,2,0.0066666666666666706,0.05882352941176472,0.9411764705882353,1.0,0.12549019607843143
